info: Start new process with arguments: IDENTIFIER-undefined PARENT-undefined
info: pid: 10092. IDENTIFIER: L9ipbdc. Codefresh random string: gD72DcA
info: pid: 10092. IDENTIFIER: L9ipbdc. Codefresh random string: 5o94hDc
info: pid: 10092. IDENTIFIER: L9ipbdc. Codefresh random string: qDO3pgf
info: pid: 10092. IDENTIFIER: L9ipbdc. Codefresh random string: BBD8C0a
info: pid: 10092. IDENTIFIER: L9ipbdc. Codefresh random string: ppYm492
info: pid: 10092. IDENTIFIER: L9ipbdc. Codefresh random string: Pc2WTYj
info: pid: 10092. IDENTIFIER: L9ipbdc. case 1 (fork 368)
info: pid: 10092. IDENTIFIER: L9ipbdc. Codefresh random string: KY4Hlvw
info: pid: 10092. IDENTIFIER: L9ipbdc. Codefresh random string: fQ6sf9f
info: pid: 10092. IDENTIFIER: L9ipbdc. Codefresh random string: wPSdPrb
info: pid: 10092. IDENTIFIER: L9ipbdc. Codefresh random string: GXXr9H1
info: pid: 10092. IDENTIFIER: L9ipbdc. Codefresh random string: hyHKXYF
info: pid: 10092. IDENTIFIER: L9ipbdc. Codefresh random string: E4bfGJa
info: pid: 10092. IDENTIFIER: L9ipbdc. Codefresh random string: JGSWbT0
info: pid: 10092. IDENTIFIER: L9ipbdc. Codefresh random string: gmV278s
info: pid: 10092. IDENTIFIER: L9ipbdc. Codefresh random string: tQER7Yg
info: pid: 10092. IDENTIFIER: L9ipbdc. Codefresh random string: 4k2o4jB
info: pid: 10092. IDENTIFIER: L9ipbdc. Codefresh random string: fh5XF0z
info: pid: 10092. IDENTIFIER: L9ipbdc. Codefresh random string: dA9RrI0
info: pid: 10092. IDENTIFIER: L9ipbdc. Codefresh random string: vhdLfNj
info: pid: 10092. IDENTIFIER: L9ipbdc. Codefresh random string: Te3U5bx
info: pid: 10092. IDENTIFIER: L9ipbdc. Codefresh random string: aUg9u0y
info: pid: 10092. IDENTIFIER: L9ipbdc. Codefresh random string: mpGkJ7O
info: pid: 10092. IDENTIFIER: L9ipbdc. Codefresh random string: C0H6FHU
info: pid: 10092. IDENTIFIER: L9ipbdc. Codefresh random string: eSCqGZP
info: pid: 10092. IDENTIFIER: L9ipbdc. Codefresh random string: DzbjVa6
info: pid: 10092. IDENTIFIER: L9ipbdc. Codefresh random string: hEK73jH
info: pid: 10092. IDENTIFIER: L9ipbdc. Codefresh random string: qL177yD
info: pid: 10092. IDENTIFIER: L9ipbdc. Codefresh random string: tyyAlm7
info: pid: 10092. IDENTIFIER: L9ipbdc. Codefresh random string: BLWnsz4
info: pid: 10092. IDENTIFIER: L9ipbdc. case 2 (exit)
info: Start new process with arguments: IDENTIFIER-L9ipbdc PARENT-10092
info: kill 10092 process from 368
error: process 10092 not found. Can't kill it.
info: pid:   368. IDENTIFIER: L9ipbdc. case (expired ID) get new one
info: pid:   368. IDENTIFIER: S5fWiS8. Codefresh random string: vcc4WVs
info: pid:   368. IDENTIFIER: S5fWiS8. Codefresh random string: RrLCWP1
info: pid:   368. IDENTIFIER: S5fWiS8. Codefresh random string: jF9jC08
info: pid:   368. IDENTIFIER: S5fWiS8. Codefresh random string: BGSk7FW
info: pid:   368. IDENTIFIER: S5fWiS8. Codefresh random string: eb6J0oX
info: pid:   368. IDENTIFIER: S5fWiS8. Codefresh random string: PEJZFbd
info: pid:   368. IDENTIFIER: S5fWiS8. Codefresh random string: J6Q7qEL
